idle_CPU_usage,peak_CPU_usage,avg_throughput_TPS,peak_throughput_TPS,RAM_size_GB
0.01,0.48,12.716,145.59,0.5
0.3,0.95,8.997,120.02,1.5
0.31,0.59,14.754,125.46,0.9
0.02,0.55,2.933,291.11,1.2
0.3,0.87,8.298,301.7,1.9
0.02,0.93,0.74,305.65,2.0
0.03,0.92,0.399,285.72,0.7
0.33,0.43,0.522,101.55,1.1
-0.02,0.48,1.021,114.68,0.7
-0.02,0.92,0.38,288.8,1.3
0.36,0.88,8.203,302.9,0.8
0.27,0.97,5.556,309.85,1.2
0.33,0.42,18.722,121.65,1.3
0.03,0.46,9.831,116.38,2.0
0.29,0.87,4.772,109.98,0.6
0.02,0.43,5.576,295.41,1.9
0.23,0.52,4.351,119.85,1.5
0.01,0.52,5.117,291.33,1.2
0.32,0.58,19.7,293.88,1.6
-0.03,0.46,0.949,114.45,1.1
-0.04,0.49,16.734,305.44,1.4
0.05,0.87,16.586,288.27,1.3
0.32,0.93,16.399,121.86,0.6
0.31,0.87,6.375,114.12,1.9
0.32,0.54,3.241,118.77,1.6
-0.03,0.48,15.653,110.85,1.3
-0.01,0.95,18.254,316.53,1.4
-0.0,0.98,12.971,288.2,0.6
0.02,0.46,17.332,293.05,0.8
0.28,0.93,12.488,305.04,0.9
-0.0,0.77,13.148,135.0,1.4
0.02,0.52,16.188,318.02,0.7
-0.01,0.89,19.894,132.64,1.0
0.34,0.54,7.742,302.04,1.5
0.28,1.02,13.45,140.71,1.3
0.3,0.94,12.753,311.55,1.3
0.34,0.82,6.557,289.04,1.0
0.29,0.87,7.304,258.39,1.9
0.28,0.48,4.769,281.26,1.5
0.31,0.91,11.381,292.86,1.3
0.06,0.5,18.037,97.7,0.6
0.29,0.52,14.237,119.6,0.6
0.03,1.01,12.0,130.42,1.0
-0.03,0.4,3.616,269.01,1.5
-0.04,0.49,18.11,108.44,1.2
0.33,0.91,0.551,291.61,1.8
0.32,0.5,1.016,114.63,0.7
0.29,0.47,1.926,287.95,2.0
-0.03,0.53,0.245,112.86,1.5
0.29,0.86,4.104,308.79,1.4
0.32,0.88,12.619,106.32,0.6
-0.0,0.88,17.709,309.68,0.8
0.33,0.92,17.363,117.74,1.6
0.3,0.49,2.679,104.96,0.5
0.31,0.51,12.784,296.32,1.7
0.06,0.44,12.963,110.16,0.5
-0.01,0.96,0.787,113.05,0.9
0.34,0.93,4.531,297.34,1.3
0.01,0.88,13.495,316.09,1.8
0.01,0.91,6.785,309.69,0.8
-0.01,0.58,13.594,284.61,0.5
0.03,0.84,18.479,114.43,1.7
0.31,0.54,16.7,308.47,1.0
-0.01,0.88,4.255,113.63,0.7
-0.02,0.44,11.994,113.75,0.7
0.02,0.88,19.618,307.18,1.1
0.31,1.03,19.115,106.94,1.0
0.31,0.94,11.642,291.12,1.3
0.04,0.5,7.183,114.88,2.0
0.28,0.84,17.875,283.25,0.7
0.33,0.95,4.381,302.56,0.5
0.29,0.88,5.219,303.81,1.6
0.33,0.55,0.889,276.21,1.4
0.32,0.5,8.424,294.53,0.5
0.26,0.53,3.961,303.53,1.7
-0.02,0.9,3.074,119.03,1.8
0.31,0.45,15.109,317.4,1.6
0.02,0.87,11.507,120.63,0.6
0.36,0.46,3.373,110.08,1.6
0.32,0.98,2.743,301.24,1.9
-0.05,0.51,7.737,103.92,1.8
0.01,0.89,5.451,124.48,0.9
0.29,0.55,17.019,296.98,1.2
0.28,0.89,10.801,138.6,1.9
0.0,0.56,15.688,295.97,0.7
0.03,0.5,19.968,275.84,1.3
0.25,0.86,12.464,290.96,1.6
0.28,0.94,4.079,139.68,0.7
-0.04,0.87,6.304,117.52,1.3
0.04,0.89,10.067,125.8,1.1
0.34,0.88,3.653,315.97,1.5
0.27,0.41,12.626,283.44,0.6
-0.0,0.56,5.246,123.55,0.5
0.31,0.48,11.678,305.95,0.7
0.05,0.9,10.417,313.9,1.5
0.28,0.92,7.016,313.67,1.0
0.35,0.47,18.964,307.84,1.6
0.01,0.93,12.901,102.6,0.8
0.02,0.48,1.333,138.52,1.7
0.29,0.92,1.49,265.31,1.0
-0.02,0.59,0.105,302.11,1.2
0.36,0.46,12.287,288.97,1.3
0.04,0.95,11.645,110.15,1.7
0.27,0.59,13.223,124.36,1.9
0.01,0.89,17.842,107.91,1.8
0.29,0.38,10.86,132.05,1.0
0.01,0.91,5.113,277.64,0.5
0.01,0.95,19.315,312.92,0.8
0.05,0.45,11.264,105.1,1.2
0.21,0.55,2.198,102.42,0.9
0.26,0.91,12.859,300.53,0.8
0.32,0.43,1.05,309.3,0.7
-0.01,0.52,19.711,142.98,1.4
-0.01,0.97,8.121,110.43,0.8
0.26,0.46,3.018,126.11,0.6
0.31,0.93,9.152,103.63,1.4
0.04,0.64,9.602,281.74,1.1
-0.02,0.99,4.997,125.62,0.8
0.02,0.91,0.398,111.67,0.5
0.33,0.9,16.912,305.09,1.9
0.32,0.44,15.639,110.47,1.9
-0.01,0.52,10.476,105.04,1.1
0.33,0.45,7.84,316.68,1.5
0.33,0.54,10.859,301.65,2.0
-0.03,0.9,18.467,301.68,1.5
0.07,0.88,5.363,306.26,1.1
-0.03,0.49,8.683,122.61,1.4
0.3,0.92,12.566,99.09,1.6
0.04,0.54,11.028,131.77,0.7
-0.03,0.55,16.778,115.06,0.6
0.29,0.51,1.817,302.97,0.6
0.0,0.5,8.806,306.05,1.3
-0.01,0.46,7.524,294.62,1.5
0.34,0.45,19.234,138.48,0.8
0.28,0.79,2.857,297.92,1.0
0.29,0.85,11.78,139.27,1.5
0.01,0.93,12.376,303.82,0.5
0.3,0.51,7.33,301.72,1.8
0.02,0.43,11.913,105.27,0.8
0.32,0.48,9.138,297.31,1.0
-0.01,0.87,8.855,300.39,0.6
0.01,0.43,7.593,134.11,1.6
0.33,0.9,13.566,114.56,1.9
0.33,0.99,2.754,280.75,1.9
0.32,0.91,13.314,297.11,1.4
-0.03,0.88,17.011,294.67,1.5
-0.03,0.84,3.365,134.33,0.7
0.25,0.92,19.523,298.8,0.7
-0.02,0.92,1.631,299.32,0.7
0.33,0.45,2.423,298.82,1.2
-0.02,0.52,10.196,313.57,1.3
0.28,0.47,4.326,275.21,1.3
0.03,0.4,14.852,128.94,1.3
0.31,0.49,2.967,288.42,1.4
0.29,0.58,5.562,303.54,0.6
0.04,0.88,8.801,109.54,1.6
0.28,0.56,14.835,121.51,1.9
0.03,0.53,13.099,293.23,1.5
0.0,0.46,1.671,114.37,1.7
-0.02,1.02,6.441,292.39,1.5
0.27,0.83,5.154,291.43,0.8
0.03,0.85,8.736,101.18,1.0
0.31,0.81,2.971,300.61,0.8
0.03,0.53,10.717,289.71,1.8
0.26,0.91,5.395,110.01,0.9
0.02,0.87,0.926,108.48,1.6
0.25,0.96,16.327,294.78,0.5
-0.02,0.93,1.339,314.45,0.7
0.02,0.91,12.947,287.37,0.9
-0.04,0.49,18.033,285.6,1.4
0.32,0.47,1.184,275.26,1.0
0.3,0.47,0.802,117.96,0.9
-0.02,0.83,16.767,102.59,0.9
0.25,0.98,10.517,305.03,0.6
0.02,0.9,15.79,137.15,1.0
-0.01,0.59,0.698,316.36,0.7
0.03,0.46,19.885,289.03,1.3
-0.01,0.46,15.918,147.2,0.7
0.02,0.46,0.796,307.53,1.4
0.26,0.88,3.551,109.16,0.7
0.32,0.58,13.66,107.66,1.6
0.28,0.47,19.992,118.46,1.6
0.31,0.41,19.838,117.96,1.9
-0.01,0.46,10.925,300.56,1.8
0.02,0.49,16.651,284.25,1.5
0.32,0.9,18.391,312.86,0.9
0.05,0.96,5.775,127.24,1.1
-0.01,0.9,13.095,113.25,1.2
0.29,0.95,5.169,130.24,1.8
0.32,0.86,1.351,309.09,0.9
0.32,0.94,9.819,106.17,1.6
0.29,0.89,0.891,121.74,0.7
0.31,0.45,12.465,309.01,1.5
0.31,0.42,9.296,125.32,1.9
0.02,0.97,4.445,311.88,1.2
0.31,0.94,6.902,303.89,1.3
0.05,0.82,9.334,303.53,1.9
0.33,0.49,7.757,279.97,1.3
0.29,0.54,0.365,298.6,0.7
0.3,0.84,5.493,116.32,1.1
-0.04,0.85,2.263,112.49,1.4
-0.01,0.5,7.02,121.78,0.7
-0.02,0.5,13.818,291.17,0.7
0.26,0.46,11.442,106.33,1.5
0.28,0.57,16.842,125.49,1.8
0.01,1.01,14.517,107.56,1.6
0.27,0.88,15.605,303.39,1.8
-0.02,0.9,10.391,117.25,0.8
0.23,0.86,16.62,302.7,2.0
-0.04,0.44,12.718,302.56,1.2
0.02,1.01,17.586,308.52,0.7
0.01,0.92,17.444,121.44,0.9
-0.01,0.91,17.2,290.45,1.0
0.32,0.42,2.228,275.45,1.7
0.33,0.43,12.512,106.55,1.2
-0.0,0.4,3.849,298.77,0.6
0.31,0.5,17.545,310.7,0.8
-0.04,0.96,17.381,293.53,1.8
0.3,0.56,7.318,312.51,0.5
0.29,0.82,5.724,101.33,1.3
-0.03,0.54,0.532,303.1,1.9
0.01,0.47,15.511,111.66,0.9
-0.0,0.89,15.613,105.59,0.6
0.31,0.89,5.208,130.88,1.6
0.04,0.48,7.986,107.82,1.7
0.05,0.95,18.32,307.24,1.7
0.05,0.87,16.013,305.5,1.8
0.31,0.89,11.0,93.95,1.5
0.3,0.94,6.369,117.91,0.6
0.34,0.45,8.486,115.14,1.2
0.32,0.88,6.288,308.69,0.6
0.02,0.87,3.046,312.38,0.6
0.3,0.54,19.132,303.53,1.4
0.01,0.53,13.896,299.02,1.9
0.36,0.89,18.259,311.38,2.0
-0.04,0.48,16.34,290.16,1.5
0.29,0.55,6.821,308.85,1.6
-0.02,0.89,19.795,120.54,0.7
0.34,0.52,10.481,130.08,0.9
0.04,0.53,14.565,111.22,1.8
0.36,0.85,17.654,278.5,0.9
0.33,0.49,2.468,111.15,0.7
0.29,0.85,12.428,290.56,1.8
0.29,0.91,8.388,299.44,1.1
-0.01,0.5,3.758,281.92,0.9
0.26,0.53,3.726,131.59,1.7
0.07,0.95,3.158,113.91,1.2
0.33,0.89,11.34,122.09,1.5
0.01,0.52,8.318,105.79,1.4
0.27,0.53,0.221,111.08,1.9
0.26,0.6,16.296,305.1,0.6
0.02,0.47,10.051,125.07,0.7
-0.02,0.53,5.174,308.26,1.0
0.34,0.8,14.698,111.02,1.1
-0.0,0.96,11.17,314.2,1.4
0.33,0.44,13.801,308.28,0.8
0.01,1.0,10.442,113.64,1.8
-0.01,0.5,0.935,136.83,1.0
0.33,0.58,17.395,120.56,1.4
0.32,0.84,5.558,140.99,0.7
0.33,0.95,6.107,112.53,1.4
-0.03,0.55,14.052,114.52,0.6
0.33,0.43,2.682,94.0,0.6
-0.02,0.97,11.127,106.54,1.0
0.31,0.92,5.726,109.97,0.6
0.28,0.93,12.542,110.01,1.3
-0.01,0.92,4.622,294.12,1.1
0.33,0.91,3.506,116.35,1.6
0.34,0.92,15.576,303.21,1.4
0.06,0.46,19.112,123.6,1.2
-0.0,0.57,10.206,310.16,0.7
0.04,0.77,15.092,132.41,0.6
0.28,0.53,18.951,106.68,1.8
0.01,0.86,19.895,319.32,0.9
-0.01,0.93,6.256,303.78,1.0
0.32,0.46,15.079,278.09,1.2
0.25,0.63,19.692,306.51,1.9
-0.03,0.44,7.357,310.74,0.9
0.04,0.82,12.872,115.34,1.4
-0.02,0.9,0.7,115.86,1.0
0.28,0.92,6.14,308.7,0.8
0.31,0.92,12.123,119.47,1.0
0.31,0.45,19.022,116.13,0.6
-0.02,0.86,9.296,112.38,1.0
0.0,1.01,1.769,102.28,1.1
0.32,0.97,13.114,300.47,1.2
0.33,0.44,3.172,102.94,1.0
0.26,0.52,18.877,283.21,1.5
-0.01,0.53,13.03,308.62,2.0
0.33,0.47,13.753,123.2,1.8
0.28,0.85,7.111,297.32,1.9
0.29,0.52,10.619,302.27,0.6
-0.01,0.52,1.387,299.48,1.5
0.3,0.9,10.135,306.06,1.2
0.3,0.91,13.429,119.5,1.5
0.28,0.48,10.123,309.58,0.8
0.32,0.46,10.067,297.9,0.7
-0.02,0.89,5.871,114.36,1.4
0.01,0.54,6.419,297.23,1.3
-0.01,0.47,16.093,118.73,1.4
0.27,0.56,4.417,104.99,2.0
0.02,0.9,18.639,113.45,0.6
-0.05,0.6,11.841,315.52,0.6
-0.01,0.81,17.875,129.6,0.8
0.3,0.85,10.244,115.78,1.7
0.31,0.54,18.672,122.05,0.6
0.01,0.9,6.72,119.66,0.9
0.36,0.58,9.504,126.46,0.7
-0.02,0.41,7.091,111.06,1.2
-0.01,0.48,8.658,309.28,0.8
-0.03,0.56,9.324,301.64,1.9
0.31,0.96,6.797,118.16,1.7
0.32,0.88,2.444,312.75,0.7
-0.02,0.93,18.821,308.03,0.8
-0.03,0.85,11.286,303.99,1.3
-0.02,0.54,4.413,112.7,0.5
0.31,0.53,11.983,304.21,1.9
0.32,0.48,14.919,289.28,1.5
0.03,0.52,0.822,110.94,1.1
0.3,0.95,6.803,113.9,1.5
0.03,0.89,7.185,114.22,1.9
0.28,0.59,4.195,282.36,2.0
0.28,0.46,2.002,270.33,1.9
0.32,0.9,9.886,121.38,1.5
0.26,0.48,1.379,108.34,0.8
-0.02,0.93,9.979,100.0,1.9
0.05,0.43,6.388,128.28,1.4
0.35,0.43,2582.712,13051.42,32.7
0.28,0.48,796.955,11536.23,43.4
0.02,0.96,199.497,13812.85,27.9
0.02,0.53,2944.794,12747.32,48.3
-0.0,0.46,1857.494,36868.51,27.6
0.34,0.83,2603.437,35756.61,24.1
0.3,0.89,458.7,11918.62,38.4
0.27,0.48,2355.127,34553.69,37.2
0.03,0.97,609.555,14005.91,20.8
0.27,0.94,1098.62,14299.37,54.3
0.29,0.89,2103.429,36065.2,45.0
0.28,0.88,1693.334,10819.82,58.8
-0.01,0.52,2061.882,11795.76,62.3
0.02,1.02,872.454,14435.35,49.2
0.32,0.54,178.271,13355.16,50.3
-0.02,0.94,2597.363,14565.16,20.5
0.35,0.57,2614.508,11855.79,32.3
0.05,0.48,943.033,14809.45,47.6
0.02,0.48,2910.681,35046.54,22.4
0.26,0.48,497.925,36689.03,19.2
0.04,0.88,2315.892,36567.37,59.2
0.31,0.92,577.101,12199.41,28.9
0.32,0.55,2740.643,36421.36,57.6
0.28,0.49,467.597,13222.12,28.9
0.26,0.53,2970.27,36336.34,60.0
-0.04,0.45,1937.562,35935.51,25.4
0.32,0.92,2936.06,13271.69,32.4
0.0,0.83,303.305,37413.61,42.4
0.31,0.94,1461.923,13458.0,22.5
0.0,0.81,1655.769,33726.37,51.8
0.25,0.9,239.488,34395.31,57.2
0.34,0.98,1953.159,35695.12,57.2
0.02,0.92,2072.941,11382.3,63.5
0.33,0.51,2321.806,37751.14,44.9
0.3,0.98,1136.821,33209.55,17.3
0.33,0.91,716.719,36391.1,52.8
0.03,0.92,1072.94,10914.11,49.5
0.01,0.45,422.709,35497.12,28.2
0.01,0.94,2506.245,35576.79,27.6
0.3,0.91,2632.583,33827.36,38.2
0.33,0.95,2037.41,35273.32,45.1
0.0,0.47,2506.825,34078.29,61.2
0.3,0.88,2721.113,35915.02,63.2
0.34,0.42,1214.813,16100.81,41.0
0.31,0.97,762.796,34378.28,56.8
0.28,0.47,1414.798,13091.3,56.7
-0.01,0.52,139.176,11277.3,37.2
0.33,0.85,1779.684,37224.81,24.8
-0.04,0.93,1856.022,35006.4,27.7
0.33,0.52,1579.939,14490.86,49.6
-0.03,0.5,2191.725,13891.19,63.3
0.01,0.89,613.853,15454.14,62.4
0.01,0.95,273.629,37644.49,48.7
0.02,0.49,966.235,13053.13,40.9
0.01,0.85,929.855,36743.59,55.4
0.28,0.95,2452.913,11697.3,63.4
0.31,0.48,1419.883,13093.46,44.7
0.32,0.56,793.013,34867.48,57.4
-0.03,0.45,1980.614,11717.15,51.4
0.01,0.85,2476.898,36254.01,42.1
0.35,0.87,364.787,15386.9,58.6
0.02,0.81,579.38,33673.75,40.5
0.03,0.56,1943.677,11321.04,22.6
0.06,0.94,2626.762,36022.64,31.5
0.3,0.88,978.595,35464.68,21.5
0.24,0.46,2677.965,35591.49,31.9
0.33,0.53,1209.849,37504.91,57.8
0.28,0.5,1255.283,19648.63,56.9
0.0,0.89,529.054,11545.78,50.8
0.08,0.96,1319.432,13211.3,26.6
0.3,0.47,2076.878,10811.39,19.2
-0.03,0.82,1103.543,35887.56,17.7
0.34,0.94,2755.251,32283.18,25.3
-0.03,0.87,121.9,36713.51,48.0
0.04,0.99,1215.452,12322.62,18.9
0.04,0.44,898.367,12616.76,62.9
-0.05,0.51,600.309,35900.28,45.2
0.33,0.47,1853.442,13413.22,41.5
0.28,0.95,1151.487,34134.5,46.8
-0.02,0.97,2898.798,13086.4,25.3
0.31,0.91,584.448,13053.56,44.7
0.32,0.46,123.774,13144.02,38.1
0.32,0.99,1820.425,35070.63,33.3
0.29,0.92,1660.695,12935.68,62.9
0.03,0.66,2262.194,11950.68,25.9
0.3,0.88,261.602,34949.32,37.8
0.29,0.4,1550.117,14872.48,32.0
0.33,0.48,675.626,12099.19,59.9
0.29,0.93,1603.219,34947.72,62.1
-0.0,0.86,1076.179,12884.46,53.3
0.0,0.87,2399.598,34735.15,62.8
0.04,0.49,1186.921,11503.89,36.6
0.35,0.51,1657.524,12037.8,45.0
0.01,0.86,1353.346,11948.01,58.6
0.34,0.96,1341.933,34222.94,36.8
0.01,0.87,639.929,13218.99,25.1
0.31,0.93,1059.128,37801.97,59.7
0.3,0.98,2193.596,33920.93,62.7
0.03,0.91,395.622,36003.01,40.1
-0.02,0.88,2507.288,12504.75,43.2
-0.05,0.52,531.747,36699.99,22.0
0.0,0.4,1685.996,11758.37,54.9
-0.01,0.95,2110.162,11491.09,52.8
0.31,0.88,182.992,33500.32,59.5
0.33,0.91,318.634,34767.32,57.3
0.27,0.84,1683.76,13823.01,55.5
0.03,0.5,2481.094,37455.26,26.7
0.07,0.94,1368.186,36996.62,58.4
0.32,0.59,376.499,37725.07,60.8
0.09,0.86,1751.252,36232.54,16.7
0.02,0.48,1552.112,12988.99,24.3
-0.05,0.83,1974.87,12965.6,42.6
0.34,0.42,1264.298,12846.14,58.7
0.04,0.93,1950.681,14022.9,56.1
0.27,0.43,2221.227,13579.2,47.1
0.34,0.56,2391.183,34615.99,42.1
0.02,0.88,2348.859,13902.29,54.0
0.3,0.59,1716.223,36879.81,59.1
0.02,0.51,691.012,37949.4,60.7
0.02,0.58,1232.524,36030.52,39.1
0.32,0.9,1539.881,12888.59,18.7
-0.03,0.89,1146.693,32468.67,22.4
0.02,0.5,1294.035,36759.45,36.5
-0.02,0.93,171.759,37411.19,21.1
0.04,0.48,2618.314,15659.2,37.0
0.33,0.55,2060.693,11317.51,42.5
0.27,0.55,188.78,15824.98,58.0
0.32,0.93,733.784,14815.08,43.6
0.33,0.47,412.289,35531.06,27.4
0.0,0.53,412.059,33295.45,27.7
0.01,0.48,2115.19,37361.77,56.2
0.03,0.81,1789.359,34756.01,54.7
-0.02,0.44,2413.266,37618.72,54.6
0.34,0.97,2491.827,36339.66,16.9
0.32,0.49,1756.312,13079.61,24.5
0.34,0.48,1103.981,36293.58,24.7
0.01,0.5,199.214,36062.02,28.6
0.31,0.51,2148.746,37785.21,38.5
0.05,0.63,2437.936,12011.89,26.4
0.0,0.94,1359.196,35990.42,31.6
0.0,0.52,1576.643,11504.72,56.9
-0.03,0.54,170.524,15691.08,17.6
0.34,0.9,1784.472,35890.43,29.9
0.01,0.98,110.168,35138.78,22.5
0.01,0.51,176.35,15182.93,51.9
0.31,0.92,1086.833,38065.97,27.3
0.29,0.55,2619.333,14749.82,29.7
0.04,0.89,2425.398,12354.11,58.8
0.33,0.54,237.904,13705.83,39.5
0.01,0.99,2708.43,33400.07,56.6
0.31,0.94,993.456,13225.45,23.6
-0.02,0.49,696.212,34361.41,32.1
-0.03,0.89,1213.67,13045.59,42.0
-0.01,0.49,2759.391,14710.04,40.0
0.29,0.94,283.694,14121.19,25.8
0.34,0.89,2176.63,13190.3,42.5
-0.01,0.85,2670.245,32409.4,53.0
-0.02,0.83,702.875,34447.85,50.3
-0.0,0.86,2595.777,13311.48,51.4
-0.01,0.79,615.559,15273.94,18.4
0.29,0.45,1415.377,15414.49,25.9
0.3,0.88,473.937,35132.02,34.4
0.28,0.51,1064.902,12002.4,16.1
0.32,0.49,1744.273,11397.95,19.7
0.35,1.03,2442.145,15149.03,54.2
0.34,0.54,1041.533,12402.07,49.1
-0.01,0.82,332.532,12645.33,59.0
0.31,0.97,935.915,36651.09,52.9
0.05,0.88,2079.85,12844.5,34.0
0.33,0.53,2818.045,11154.18,19.2
0.07,0.88,431.231,36143.01,51.4
0.24,0.92,2686.692,33469.42,33.5
0.32,0.45,888.121,12060.38,37.6
0.31,0.94,1543.094,12362.58,49.3
0.36,0.88,2614.044,11421.76,30.1
0.34,0.97,780.455,33721.67,59.0
0.0,0.52,544.238,36093.08,42.2
0.29,0.94,1379.862,35398.95,30.7
-0.0,0.49,1820.912,35424.01,49.1
-0.01,0.48,2386.723,37231.22,59.1
0.05,0.51,1224.819,36741.41,56.2
0.03,0.49,2052.448,12707.67,51.9
0.02,0.87,2397.413,36412.02,21.3
0.03,0.51,2788.716,35766.2,38.9
0.3,0.88,1016.868,14197.92,55.7
-0.04,0.5,1477.384,13113.55,41.6
0.25,0.55,1105.759,12833.63,60.0
0.27,0.47,2397.258,13554.19,44.9
-0.02,0.52,1425.313,13042.1,62.7
0.23,0.45,1788.576,12038.06,49.8
0.32,1.01,1127.454,36548.89,46.8
0.0,0.46,1931.721,36058.91,59.7
0.34,0.46,581.305,35538.68,60.2
0.3,0.55,248.842,35176.83,34.1
0.33,0.84,2556.604,36309.84,22.3
0.01,0.57,1990.296,15439.31,41.0
0.27,0.46,867.062,36264.48,51.4
0.01,0.43,2417.687,36570.62,28.7
0.07,0.91,1439.896,35325.69,33.7
0.33,0.49,311.429,11381.07,34.0
0.27,0.52,689.778,11181.66,60.3
0.05,0.48,1685.59,14430.07,58.7
0.01,0.89,1578.822,36809.11,19.8
0.33,0.53,2292.323,34173.04,44.8
-0.0,0.88,2418.227,15427.4,17.1
-0.01,0.51,292.484,33777.61,63.3
0.3,1.0,1330.639,13102.42,48.8
0.01,0.41,1516.246,36343.49,61.2
0.04,0.85,591.048,35757.18,30.3
0.34,0.45,1722.136,15120.05,23.7
0.29,0.4,2788.444,36677.96,57.2
-0.0,0.45,1660.298,12701.17,25.7
0.31,0.46,1498.211,15003.94,61.4
0.03,0.46,527.433,12072.1,42.7
0.07,0.59,2450.027,34689.37,37.8
0.01,0.49,2261.143,11270.12,29.6
-0.02,0.48,896.941,13837.71,56.3
0.31,0.92,2286.828,35120.54,27.3
0.32,0.87,729.023,12804.38,61.2
-0.05,0.47,2310.95,35309.79,32.9
0.32,0.89,2584.407,12506.6,34.3
0.03,0.51,211.503,14622.67,27.5
0.01,0.55,1651.854,33323.3,26.8
0.31,0.48,1706.178,34486.99,40.9
-0.01,0.91,2156.804,12333.11,18.6
0.02,0.53,1264.398,35434.43,42.1
0.35,1.03,2649.826,13121.76,55.1
0.31,0.92,2747.444,11495.51,23.1
0.31,0.83,868.108,13571.87,59.2
0.29,0.95,1948.35,13979.91,52.8
-0.01,0.83,1288.638,14033.65,52.1
0.3,0.54,1144.428,12826.08,27.6
0.27,0.93,2379.266,12531.23,52.0
0.32,0.53,946.363,14088.21,21.6
0.26,0.99,2138.142,37563.29,58.0
0.33,0.56,2004.181,31686.84,50.4
0.29,0.89,508.435,34297.02,48.0
0.26,0.87,1297.835,34979.76,40.7
0.0,0.5,525.562,36595.9,59.7
0.04,0.59,2778.465,11888.04,20.2
0.31,0.9,339.027,36303.56,46.0
0.0,0.97,2243.058,35346.03,57.6
0.25,0.42,867.033,36343.06,29.4
-0.03,0.82,882.756,14728.46,24.7
0.27,0.55,2720.231,12059.27,52.1
0.29,0.87,1489.124,11424.27,27.9
-0.04,0.48,1983.163,12619.54,34.9
0.32,0.45,1497.042,35983.16,63.7
-0.03,0.99,2335.711,34848.47,25.8
0.34,0.82,2626.952,35996.35,45.9
0.01,0.92,975.017,12978.67,61.8
0.34,0.52,2669.951,36640.45,38.7
0.29,0.47,2277.466,35156.09,23.7
0.3,0.81,312.28,37094.04,62.0
-0.01,1.0,596.724,12111.07,20.4
-0.03,0.6,2520.47,15209.95,32.3
0.31,0.56,1375.796,36515.53,30.7
0.35,0.57,317.082,36360.08,48.4
0.02,0.9,1278.227,36900.53,21.6
0.01,0.4,2292.142,36240.95,24.3
0.02,0.47,968.008,33902.32,52.1
-0.04,0.78,2616.632,36588.65,56.6
0.03,0.54,1984.549,12280.13,62.4
0.03,0.52,2108.571,35430.85,56.6
-0.01,0.68,269.843,13084.9,64.0
